"Location","Male","Female"
"Alabama","576698","554142"
"Alaska","90266","85241"
"Arizona","808904","774130"
"Arkansas","361560","344048"
"California","4322644","4123025"
"Colorado","621819","592865"
"Connecticut","368983","354003"
"Delaware","107766","104172"
"District of Columbia","64209","62383"
"Florida","2239329","2141514"
"Georgia","1294029","1244652"
"Hawaii","151178","142435"
"Idaho","239634","227708"
"Illinois","1382228","1323294"
"Indiana","814025","773229"
"Iowa","373790","356332"
"Kansas","355712","338625"
"Kentucky","521412","495483"
"Louisiana","544658","522491"
"Maine","128246","120806"
"Maryland","695641","666275"
"Massachusetts","687166","654635"
"Michigan","1082441","1029470"
"Minnesota","664885","636049"
"Mississippi","346258","333568"
"Missouri","705441","669029"
"Montana","121078","114573"
"Nebraska","247098","233900"
"Nevada","351002","334954"
"New Hampshire","129288","122762"
"New Jersey","1028353","981937"
"New Mexico","230426","220921"
"New York","2027108","1932800"
"North Carolina","1193487","1143136"
"North Dakota","94178","90556"
"Ohio","1318453","1259801"
"Oklahoma","494871","471736"
"Oregon","426156","405674"
"Pennsylvania","1348394","1280611"
"Puerto Rico","253522","245157"
"Rhode Island","104081","99757"
"South Carolina","582908","561293"
"South Dakota","113613","108285"
"Tennessee","802866","767862"
"Texas","3861582","3699543"
"United States","37258996","35572865"
"Utah","479465","453687"
"Vermont","59132","55504"
"Virginia","964762","916782"
"Washington","844243","803827"
"West Virginia","180645","171567"
"Wisconsin","640100","609029"
"Wyoming","66785","62764"
